Story ID,Total Lines,AC Count
s001-initial-project-setup,32,6
s002-design-enhanced-story-structure,29,4
s003-implement-enhanced-story-structure,30,6
s004-setup-guides-directory,27,4
s005-investigate-command-output-capture-issue,28,6
s006-update-project-motivation,35,4
s007-create-docs-reference-directory,36,5
s008-document-ai-assistant-capabilities,48,5
s009-how-to-use-vibe-tasking-guide,45,6
s010-enhance-story-completion-process,23,3
s011-refactor-installation-guide,34,8
s012-create-usage-guides,32,7
s014-refactor-main-readme,35,8
s015-create-planning-and-beginner-guides,37,12
s016-guide-for-updating-installing-md,32,9
s017-enhance-story-readme,29,9
s018-update-planning-guide-halt-after-creation,23,7
s019-revamp-installing-md,65,19
s020-update-cursor-capabilities,41,22
s021-update-windsurf-capabilities,40,22
s022-create-installing-md-validation-guide,54,23
s023-validate-installing-md-with-copilot,48,24
s024-validate-installing-md-with-gemini,48,24
s025-validate-installing-md-with-cline,62,36
s026-validate-installing-md-with-cursor,62,36
s027-validate-installing-md-with-windsurf,62,36
s028-add-resolution-field,63,10
s029-refactor-onboarding-documentation,49,16
s030-enhance-motivation-documentation,44,9
s031-create-example-walkthrough-guide,36,10
s032-adr-code-free-project,44,16
s033-document-past-adrs,53,12
s034-create-workflow-guide,214,11
s035-refactor-workflow-documentation,72,48
s036-adr-ascii-art-diagrams,47,24
s037-enhance-ac-update-process,82,32
s038-clarify-journal-entry-process,69,36
s039-research-low-code-gui-filesystem-write,82,45
s040-create-ascii-art-diagram-guide,97,53
s041-research-ai-web-fetching-filtering,114,48
s042-harmonize-onboarding-docs,135,71
s043-research-zip-installer-path,98,48
s044-refactor-onboarding-add-prerequisites,118,74
s045-refactor-documentation-structure,129,33
s046-create-writing-ai-playbooks-guide,89,41
s047-add-sequence-diagrams,86,32
s048-document-git-workflow-for-ai-collaboration,75,37
s049-create-vibe-coding-tutorial-series,89,44
s050-refactor-vibe-tasking-onboarding,84,44
s051-design-story-dependency-tracking,88,42
s052-codify-apply-ai-guide-standards,77,42
s053-formalize-sibling-template-convention,78,36
s054-create-article-tutorial-ai-guides-templates,73,33
s055-add-ethos-note-to-context-md,44,19
s056-design-lightweight-story-type,73,37
s057-standardize-enhance-adr-authoring,128,56
